time_bin,syn_norm
2920,-0.45454545454545436
2921,-0.4405594405594404
2922,-0.45454545454545436
2923,-0.45454545454545436
2924,-0.45454545454545436
2925,-0.45454545454545436
2926,-0.4405594405594404
2927,-0.45454545454545436
2928,-0.45454545454545436
2929,-0.45454545454545436
2930,-0.46853146853146843
2931,-0.4405594405594404
2932,-0.46853146853146843
2933,-0.45454545454545436
2934,-0.4405594405594404
2935,-0.42657342657342645
2936,-0.46853146853146843
2937,-0.4405594405594404
2938,-0.46853146853146843
2939,-0.45454545454545436
2940,-0.4405594405594404
2941,-0.4405594405594404
2942,-0.4405594405594404
2943,-0.4405594405594404
2944,-0.45454545454545436
2945,-0.45454545454545436
2946,-0.45454545454545436
2947,-0.4405594405594404
2948,-0.45454545454545436
2949,-0.45454545454545436
2950,-0.4405594405594404
2951,-0.4405594405594404
2952,-0.42657342657342645
2953,-0.42657342657342645
2954,-0.46853146853146843
2955,-0.45454545454545436
2956,-0.45454545454545436
2957,-0.45454545454545436
2958,-0.45454545454545436
2959,-0.45454545454545436
2960,-0.4405594405594404
2961,-0.46853146853146843
2962,-0.45454545454545436
2963,-0.4405594405594404
2964,-0.45454545454545436
2965,-0.49650349650349634
2966,-0.45454545454545436
2967,-0.45454545454545436
2968,-0.45454545454545436
2969,-0.4405594405594404
2970,-0.45454545454545436
2971,-0.4405594405594404
2972,-0.4405594405594404
2973,-0.46853146853146843
2974,-0.46853146853146843
2975,-0.4405594405594404
2976,-0.42657342657342645
2977,-0.45454545454545436
2978,-0.45454545454545436
2979,-0.42657342657342645
2980,-0.46853146853146843
2981,-0.45454545454545436
2982,-0.45454545454545436
2983,-0.45454545454545436
2984,-0.45454545454545436
2985,-0.46853146853146843
2986,-0.4405594405594404
2987,-0.45454545454545436
2988,-0.46853146853146843
2989,-0.45454545454545436
2990,-0.45454545454545436
2991,-0.4405594405594404
2992,-0.46853146853146843
2993,-0.45454545454545436
2994,-0.45454545454545436
2995,-0.45454545454545436
2996,-0.4405594405594404
2997,-0.45454545454545436
2998,-0.4405594405594404
2999,-0.45454545454545436
3000,-0.45454545454545436
3001,-0.45454545454545436
3002,-0.45454545454545436
3003,-0.4405594405594404
3004,-0.4405594405594404
3005,-0.45454545454545436
3006,-0.45454545454545436
3007,-0.4405594405594404
3008,-0.46853146853146843
3009,-0.4405594405594404
3010,-0.4405594405594404
3011,-0.4405594405594404
3012,-0.45454545454545436
3013,-0.45454545454545436
3014,-0.42657342657342645
3015,-0.45454545454545436
3016,-0.45454545454545436
3017,-0.4405594405594404
3018,-0.4405594405594404
3019,-0.4405594405594404
3020,-0.4825174825174824
3021,-0.42657342657342645
3022,-0.45454545454545436
3023,-0.46853146853146843
3024,-0.45454545454545436
3025,-0.45454545454545436
3026,-0.4405594405594404
3027,-0.45454545454545436
3028,-0.45454545454545436
3029,-0.4825174825174824
3030,-0.45454545454545436
3031,-0.45454545454545436
3032,-0.45454545454545436
3033,-0.4405594405594404
3034,-0.45454545454545436
3035,-0.45454545454545436
3036,-0.45454545454545436
3037,-0.4825174825174824
3038,-0.45454545454545436
3039,-0.4405594405594404
3040,-0.45454545454545436
3041,-0.4405594405594404
3042,-0.45454545454545436
3043,-0.4405594405594404
3044,-0.46853146853146843
3045,-0.45454545454545436
3046,-0.45454545454545436
3047,-0.4405594405594404
3048,-0.42657342657342645
3049,-0.4405594405594404
3050,-0.45454545454545436
3051,-0.4405594405594404
3052,-0.45454545454545436
3053,-0.46853146853146843
3054,-0.45454545454545436
3055,-0.45454545454545436
3056,-0.4405594405594404
3057,-0.45454545454545436
3058,-0.45454545454545436
3059,-0.4405594405594404
3060,-0.45454545454545436
3061,-0.46853146853146843
3062,-0.49650349650349634
3063,-0.45454545454545436
3064,-0.4405594405594404
3065,-0.45454545454545436
3066,-0.45454545454545436
3067,-0.45454545454545436
3068,-0.45454545454545436
3069,-0.45454545454545436
3070,-0.4405594405594404
3071,-0.4405594405594404
3072,-0.4125874125874125
3073,-0.4405594405594404
3074,-0.45454545454545436
3075,-0.4405594405594404
3076,-0.46853146853146843
3077,-0.4405594405594404
3078,-0.45454545454545436
3079,-0.42657342657342645
3080,-0.45454545454545436
3081,-0.42657342657342645
3082,-0.45454545454545436
3083,-0.42657342657342645
3084,-0.4825174825174824
3085,-0.46853146853146843
3086,-0.45454545454545436
3087,-0.46853146853146843
3088,-0.4405594405594404
3089,-0.4405594405594404
3090,-0.45454545454545436
3091,-0.4405594405594404
3092,-0.45454545454545436
3093,-0.45454545454545436
3094,-0.46853146853146843
3095,-0.45454545454545436
3096,-0.45454545454545436
3097,-0.4405594405594404
3098,-0.45454545454545436
3099,-0.4405594405594404
3100,-0.45454545454545436
3101,-0.45454545454545436
3102,-0.45454545454545436
3103,-0.46853146853146843
3104,-0.45454545454545436
3105,-0.42657342657342645
3106,-0.46853146853146843
3107,-0.45454545454545436
3108,-0.45454545454545436
3109,-0.45454545454545436
3110,-0.45454545454545436
3111,-0.45454545454545436
3112,-0.4405594405594404
3113,-0.45454545454545436
3114,-0.4825174825174824
3115,-0.4405594405594404
3116,-0.46853146853146843
3117,-0.46853146853146843
3118,-0.4405594405594404
3119,-0.46853146853146843
3120,-0.45454545454545436
3121,-0.4405594405594404
3122,-0.4405594405594404
3123,-0.4405594405594404
3124,-0.45454545454545436
3125,-0.4405594405594404
3126,-0.45454545454545436
3127,-0.46853146853146843
3128,-0.45454545454545436
3129,-0.4405594405594404
3130,-0.46853146853146843
3131,-0.4405594405594404
3132,-0.46853146853146843
3133,-0.45454545454545436
3134,-0.45454545454545436
3135,-0.46853146853146843
3136,-0.4405594405594404
3137,-0.45454545454545436
3138,-0.4405594405594404
3139,-0.4825174825174824
3140,-0.45454545454545436
3141,-0.45454545454545436
3142,-0.45454545454545436
